island,site,date,observer,row,col,trt,spp,ht,numleaves,leafnum,wilt,damclass,primdam,secdam,notes,entby,proofby,dateent
guam,anaoarray,2-Jul-10,SP,1,b,open,Papaya,30.8,7,1,no,25-50,h,dis,,TL,,
tinian,pina,13-Sep-10,SF,11,c,open,Papaya,44.3,10,2,,10-May,h,na,,SF,,
tinian,pina,13-Sep-10,SF,11,c,open,Papaya,44.3,10,3,,<2,h,na,,SF,,
tinian,pina,13-Sep-10,SF,11,c,open,Papaya,44.3,10,4,,<2,h,na,,SF,,
tinian,pina,13-Sep-10,SF,11,c,open,Papaya,44.3,10,5,,<2,dis,na,,SF,,
tinian,pina,13-Sep-10,SF,11,c,open,Papaya,44.3,10,6,,5-Feb,h,na,,SF,,
tinian,pina,13-Sep-10,SF,11,c,open,Papaya,44.3,10,7,,5-Feb,h,na,,SF,,
tinian,pina,13-Sep-10,SF,11,c,open,Papaya,44.3,10,8,,10-May,h,na,,SF,,
tinian,pina,13-Sep-10,SF,11,c,open,Papaya,44.3,10,9,,10-May,h,na,,SF,,
tinian,pina,13-Sep-10,SF,11,c,open,Papaya,44.3,10,10,,25-Oct,r,na,,SF,,
guam,ANAOarray,10-Jun-10,EH,1,C,open,Papaya,25.4,4,1,yes,na,na,na,,S. Perez,,
tinian,pina,13-Sep-10,SF,12,c,open,Morinda,15.2,6,2,,<2,dis,na,,SF,,
tinian,pina,13-Sep-10,SF,12,c,open,Morinda,15.2,6,3,,0,na,na,,SF,,
tinian,pina,13-Sep-10,SF,12,c,open,Morinda,15.2,6,4,,0,na,na,,SF,,
tinian,pina,13-Sep-10,SF,12,c,open,Morinda,15.2,6,5,,0,na,na,,SF,,
tinian,pina,13-Sep-10,SF,12,c,open,Morinda,15.2,6,6,,0,na,na,,SF,,
guam,anaoarray,2-Jul-10,SP,1,c,open,Papaya,27.5,6,1,no,25-Oct,h,dis,,TL,,
tinian,pina,13-Sep-10,SF,13,c,open,Papaya,43.2,7,2,,10-May,dis,h,,SF,,
tinian,pina,13-Sep-10,SF,13,c,open,Papaya,43.2,7,3,,10-May,h,na,,SF,,
tinian,pina,13-Sep-10,SF,13,c,open,Papaya,43.2,7,4,,25-Oct,h,na,,SF,,
tinian,pina,13-Sep-10,SF,13,c,open,Papaya,43.2,7,5,,5-Feb,h,na,,SF,,
tinian,pina,13-Sep-10,SF,13,c,open,Papaya,43.2,7,6,,<2,dis,na,,SF,,
tinian,pina,13-Sep-10,SF,13,c,open,Papaya,43.2,7,7,,25-Oct,r,h,,SF,,
guam,anaoarray,2-Jul-10,SP,1,g,excl,Morinda,8.8,10,1,no,75-99,dis,na,,TL,,
tinian,pina,13-Sep-10,SF,1,d,open,Morinda,12.6,8,2,,10-May,h,na,,SF,,
tinian,pina,13-Sep-10,SF,1,d,open,Morinda,12.6,8,3,,0,na,na,,SF,,
tinian,pina,13-Sep-10,SF,1,d,open,Morinda,12.6,8,4,,0,na,na,,SF,,
tinian,pina,13-Sep-10,SF,1,d,open,Morinda,12.6,8,5,,0,na,na,,SF,,
tinian,pina,13-Sep-10,SF,1,d,open,Morinda,12.6,8,6,,0,na,na,,SF,,
tinian,pina,13-Sep-10,SF,1,d,open,Morinda,12.6,8,7,,0,na,na,,SF,,
tinian,pina,13-Sep-10,SF,1,d,open,Morinda,12.6,8,8,,0,na,na,,SF,,
guam,ANAOarray,10-Jun-10,EH,1,H,open,Neisosperma,21.2,7,1,no,0,NA,NA,,S. Perez,,
tinian,pina,13-Sep-10,SF,3,d,open,Papaya,54.5,11,2,,5-Feb,h,dis,,SF,,
tinian,pina,13-Sep-10,SF,3,d,open,Papaya,54.5,11,3,,5-Feb,h,na,,SF,,
tinian,pina,13-Sep-10,SF,3,d,open,Papaya,54.5,11,4,,10-May,h,na,,SF,,
tinian,pina,13-Sep-10,SF,3,d,open,Papaya,54.5,11,5,,10-May,h,na,,SF,,
tinian,pina,13-Sep-10,SF,3,d,open,Papaya,54.5,11,6,,10-May,h,na,,SF,,
tinian,pina,13-Sep-10,SF,3,d,open,Papaya,54.5,11,7,,25-Oct,h,na,,SF,,
tinian,pina,13-Sep-10,SF,3,d,open,Papaya,54.5,11,8,,0,na,na,,SF,,
tinian,pina,13-Sep-10,SF,3,d,open,Papaya,54.5,11,9,,<2,h,na,,SF,,
tinian,pina,13-Sep-10,SF,3,d,open,Papaya,54.5,11,10,,5-Feb,h,na,,SF,,
tinian,pina,13-Sep-10,SF,3,d,open,Papaya,54.5,11,11,,<2,h,def,,SF,,
tinian,pina,13-Sep-10,SF,4,d,open,Neisosperma,,,,,,na,na,dead; hsr added spp 2/24/11,SF,,
guam,anaoarray,2-Jul-10,BE,1,h,open,Neisosperma,22.8,10,1,no,25-Oct,h,dis,,TL,,
tinian,pina,13-Sep-10,SF,1,e,open,Morinda,18.1,8,2,,0,na,na,,SF,,
tinian,pina,13-Sep-10,SF,1,e,open,Morinda,18.1,8,3,,<2,h,na,,SF,,
tinian,pina,13-Sep-10,SF,1,e,open,Morinda,18.1,8,4,,10-May,h,na,,SF,,
tinian,pina,13-Sep-10,SF,1,e,open,Morinda,18.1,8,5,,0,na,na,,SF,,
tinian,pina,13-Sep-10,SF,1,e,open,Morinda,18.1,8,6,,0,na,na,,SF,,
tinian,pina,13-Sep-10,SF,1,e,open,Morinda,18.1,8,7,,0,na,na,,SF,,
tinian,pina,13-Sep-10,SF,1,e,open,Morinda,18.1,8,8,,0,na,na,,SF,,
guam,ANAOarray,10-Jun-10,EH,2,A,excl,Papaya,12.6,4,1,no,0,NA,NA,,S. Perez,,
tinian,pina,13-Sep-10,SF,5,e,open,Morinda,12.4,6,2,,0,na,na,,SF,,
tinian,pina,13-Sep-10,SF,5,e,open,Morinda,12.4,6,3,,0,na,na,,SF,,
tinian,pina,13-Sep-10,SF,5,e,open,Morinda,12.4,6,4,,0,na,na,,SF,,
tinian,pina,13-Sep-10,SF,5,e,open,Morinda,12.4,6,5,,25-50,h,na,,SF,,
tinian,pina,13-Sep-10,SF,5,e,open,Morinda,12.4,6,6,,0,na,na,,SF,,
guam,anaoarray,2-Jul-10,BE,2,a,excl,Papaya,16.5,6,1,no,<2,dis,na,,TL,,
tinian,pina,13-Sep-10,SF,7,e,open,Papaya,51.5,9,2,,5-Feb,h,na,,SF,,
tinian,pina,13-Sep-10,SF,7,e,open,Papaya,51.5,9,3,,10-May,h,na,,SF,,
tinian,pina,13-Sep-10,SF,7,e,open,Papaya,51.5,9,4,,10-May,h,na,,SF,,
tinian,pina,13-Sep-10,SF,7,e,open,Papaya,51.5,9,5,,10-May,h,na,,SF,,
tinian,pina,13-Sep-10,SF,7,e,open,Papaya,51.5,9,6,,10-May,h,na,,SF,,
tinian,pina,13-Sep-10,SF,7,e,open,Papaya,51.5,9,7,,0,na,na,,SF,,
tinian,pina,13-Sep-10,SF,7,e,open,Papaya,51.5,9,8,,5-Feb,h,na,,SF,,
tinian,pina,13-Sep-10,SF,7,e,open,Papaya,51.5,9,9,,5-Feb,h,na,,SF,,
guam,ANAOarray,10-Jun-10,EH,2,A,open,Papaya,21.4,8,1,yes,na,na,na,,S. Perez,,
tinian,pina,13-Sep-10,SF,8,e,open,Neisosperma,21.2,9,2,,0,na,na,,SF,,
tinian,pina,13-Sep-10,SF,8,e,open,Neisosperma,21.2,9,3,,0,na,na,,SF,,
tinian,pina,13-Sep-10,SF,8,e,open,Neisosperma,21.2,9,4,,0,na,na,,SF,,
tinian,pina,13-Sep-10,SF,8,e,open,Neisosperma,21.2,9,5,,25-50,r,na,,SF,,
tinian,pina,13-Sep-10,SF,8,e,open,Neisosperma,21.2,9,6,,<2,h,na,,SF,,
tinian,pina,13-Sep-10,SF,8,e,open,Neisosperma,21.2,9,7,,<2,h,na,,SF,,
tinian,pina,13-Sep-10,SF,8,e,open,Neisosperma,21.2,9,8,,0,na,na,,SF,,
tinian,pina,13-Sep-10,SF,8,e,open,Neisosperma,21.2,9,9,,0,na,na,,SF,,
guam,anaoarray,2-Jul-10,SP,2,a,open,Papaya,27,9,1,no,5-Feb,h,na,,TL,,
tinian,pina,13-Sep-10,SF,11,f,open,Papaya,,,,,,na,na,dead; hsr added spp 2/24/11,SF,,
guam,ANAOarray,10-Jun-10,EH,2,C,excl,Neisosperma,23.9,8,1,yes,na,na,na,,S. Perez,,
tinian,pina,13-Sep-10,SF,9,f,open,Papaya,31.4,6,2,,10-May,def,na,,SF,,
tinian,pina,13-Sep-10,SF,9,f,open,Papaya,31.4,6,3,,5-Feb,r,na,,SF,,
tinian,pina,13-Sep-10,SF,9,f,open,Papaya,31.4,6,4,,10-May,h,na,,SF,,
tinian,pina,13-Sep-10,SF,9,f,open,Papaya,31.4,6,5,,10-May,r,na,,SF,,
tinian,pina,13-Sep-10,SF,9,f,open,Papaya,31.4,6,6,,5-Feb,h,na,,SF,,
guam,anaoarray,2-Jul-10,BE,2,c,excl,Neisosperma,26.4,6,1,no,<2,dis,na,,TL,,
tinian,pina,13-Sep-10,SF,12,g,open,Neisosperma,20.5,7,2,,0,na,na,,SF,,
tinian,pina,13-Sep-10,SF,12,g,open,Neisosperma,20.5,7,3,,0,na,na,,SF,,
tinian,pina,13-Sep-10,SF,12,g,open,Neisosperma,20.5,7,4,,0,na,na,,SF,,
tinian,pina,13-Sep-10,SF,12,g,open,Neisosperma,20.5,7,5,,0,na,na,,SF,,
tinian,pina,13-Sep-10,SF,12,g,open,Neisosperma,20.5,7,6,,0,na,na,,SF,,
tinian,pina,13-Sep-10,SF,12,g,open,Neisosperma,20.5,7,7,,0,na,na,,SF,,
tinian,pina,13-Sep-10,SF,11,g,open,Morinda,,7,1,no,0,na,na,"2 stems (1st stem= 4.3 cm, 4 leaves; 2nd stem= 12.6 cm, 3 leaves)",SF,,
tinian,pina,13-Sep-10,SF,11,g,open,Morinda,,7,2,,0,na,na,,SF,,
tinian,pina,13-Sep-10,SF,11,g,open,Morinda,,7,3,,0,na,na,,SF,,
tinian,pina,13-Sep-10,SF,11,g,open,Morinda,,7,4,,0,na,na,,SF,,
tinian,pina,13-Sep-10,SF,11,g,open,Morinda,,7,5,,<2,h,na,,SF,,
tinian,pina,13-Sep-10,SF,11,g,open,Morinda,,7,6,,10-May,h,na,,SF,,
tinian,pina,13-Sep-10,SF,11,g,open,Morinda,,7,7,,25-Oct,dis,na,leaf rot,SF,,
guam,ANAOarray,10-Jun-10,EH,2,D,excl,Neisosperma,18.1,6,1,no,25-Oct,Def,H,,S. Perez,,
tinian,pina,13-Sep-10,SF,9,g,open,Papaya,39.9,6,2,,10-May,h,na,,SF,,
tinian,pina,13-Sep-10,SF,9,g,open,Papaya,39.9,6,3,,25-50,h,na,,SF,,
tinian,pina,13-Sep-10,SF,9,g,open,Papaya,39.9,6,4,,<2,h,na,,SF,,
tinian,pina,13-Sep-10,SF,9,g,open,Papaya,39.9,6,5,,<2,h,na,,SF,,
tinian,pina,13-Sep-10,SF,9,g,open,Papaya,39.9,6,6,,<2,h,na,,SF,,
guam,anaoarray,2-Jul-10,BE,2,d,excl,Neisosperma,21.3,9,1,no,25-50,def,na,,TL,,
tinian,pina,13-Sep-10,SF,11,h,open,Papaya,40.3,4,2,,5-Feb,h,dis,,SF,,
tinian,pina,13-Sep-10,SF,11,h,open,Papaya,40.3,4,3,,25-Oct,h,na,,SF,,
tinian,pina,13-Sep-10,SF,11,h,open,Papaya,40.3,4,4,,<2,h,na,,SF,,
tinian,pina,13-Sep-10,SF,13,h,open,Papaya,38.9,8,1,no,25-Oct,h,dis,leaf rot,SF,,
tinian,pina,13-Sep-10,SF,13,h,open,Papaya,38.9,8,2,,10-May,h,na,,SF,,
tinian,pina,13-Sep-10,SF,13,h,open,Papaya,38.9,8,3,,25-Oct,r,na,,SF,,
tinian,pina,13-Sep-10,SF,13,h,open,Papaya,38.9,8,4,,0,na,na,,SF,,
tinian,pina,13-Sep-10,SF,13,h,open,Papaya,38.9,8,5,,5-Feb,h,dis,,SF,,
tinian,pina,13-Sep-10,SF,13,h,open,Papaya,38.9,8,6,,5-Feb,h,na,,SF,,
tinian,pina,13-Sep-10,SF,13,h,open,Papaya,38.9,8,7,,10-May,r,na,,SF,,
tinian,pina,13-Sep-10,SF,13,h,open,Papaya,38.9,8,8,,<2,h,na,,SF,,
guam,ANAOarray,10-Jun-10,EH,2,D,open,Papaya,21.5,6,1,no,0,NA,NA,,S. Perez,,
tinian,pina,13-Sep-10,SF,6,f,open,Neisosperma,12.7,8,2,,10-May,dis,na,,SF,,
tinian,pina,13-Sep-10,SF,6,f,open,Neisosperma,12.7,8,3,,5-Feb,dis,na,,SF,,
tinian,pina,13-Sep-10,SF,6,f,open,Neisosperma,12.7,8,4,,0,na,na,,SF,,
tinian,pina,13-Sep-10,SF,6,f,open,Neisosperma,12.7,8,5,,<2,h,na,,SF,,
tinian,pina,13-Sep-10,SF,6,f,open,Neisosperma,12.7,8,6,,0,na,na,,SF,,
tinian,pina,13-Sep-10,SF,6,f,open,Neisosperma,12.7,8,7,,0,na,na,,SF,,
tinian,pina,13-Sep-10,SF,6,f,open,Neisosperma,12.7,8,8,,0,na,na,,SF,,
guam,anaoarray,2-Jul-10,SP,2,d,open,Papaya,27.5,8,1,no,5-Feb,h,dis,,TL,,
tinian,pina,13-Sep-10,SF,3,f,open,Papaya,41.5,11,2,,<2,h,na,,SF,,
tinian,pina,13-Sep-10,SF,3,f,open,Papaya,41.5,11,3,,25-Oct,h,na,,SF,,
tinian,pina,13-Sep-10,SF,3,f,open,Papaya,41.5,11,4,,10-May,h,na,,SF,,
tinian,pina,13-Sep-10,SF,3,f,open,Papaya,41.5,11,5,,<2,h,na,,SF,,
tinian,pina,13-Sep-10,SF,3,f,open,Papaya,41.5,11,6,,10-May,h,na,,SF,,
tinian,pina,13-Sep-10,SF,3,f,open,Papaya,41.5,11,7,,10-May,h,na,,SF,,
tinian,pina,13-Sep-10,SF,3,f,open,Papaya,41.5,11,8,,10-May,h,na,,SF,,
tinian,pina,13-Sep-10,SF,3,f,open,Papaya,41.5,11,9,,<2,h,na,,SF,,
tinian,pina,13-Sep-10,SF,3,f,open,Papaya,41.5,11,10,,<2,h,na,,SF,,
tinian,pina,13-Sep-10,SF,3,f,open,Papaya,41.5,11,11,,<2,h,na,,SF,,
guam,anaoarray,2-Jul-10,SP,2,g,excl,Morinda,18.3,6,1,no,25-Oct,dis,na,,TL,,
tinian,pina,13-Sep-10,SF,1,h,open,Morinda,18.1,8,2,,10-May,h,na,,SF,,
tinian,pina,13-Sep-10,SF,1,h,open,Morinda,18.1,8,3,,0,na,na,,SF,,
tinian,pina,13-Sep-10,SF,1,h,open,Morinda,18.1,8,4,,0,na,na,,SF,,
tinian,pina,13-Sep-10,SF,1,h,open,Morinda,18.1,8,5,,0,na,na,,SF,,
tinian,pina,13-Sep-10,SF,1,h,open,Morinda,18.1,8,6,,0,na,na,,SF,,
tinian,pina,13-Sep-10,SF,1,h,open,Morinda,18.1,8,7,,0,na,na,,SF,,
tinian,pina,13-Sep-10,SF,1,h,open,Morinda,18.1,8,8,,0,na,na,,SF,,
guam,anaoarray,2-Jul-10,SP,3,b,excl,Morinda,9.3,9,1,no,75-99,dis,na,,TL,,
tinian,pina,13-Sep-10,SF,2,h,open,Morinda,19.5,6,2,,10-May,h,na,,SF,,
tinian,pina,13-Sep-10,SF,2,h,open,Morinda,19.5,6,3,,0,na,na,,SF,,
tinian,pina,13-Sep-10,SF,2,h,open,Morinda,19.5,6,4,,<2,h,na,,SF,,
tinian,pina,13-Sep-10,SF,2,h,open,Morinda,19.5,6,5,,0,na,na,,SF,,
tinian,pina,13-Sep-10,SF,2,h,open,Morinda,19.5,6,6,,<2,h,na,,SF,,
guam,ANAOarray,10-Jun-10,EH,3,B,open,Papaya,27.3,6,1,no,0,NA,NA,,S. Perez,,
tinian,pina,13-Sep-10,SF,3,h,open,Neisosperma,28.5,8,2,,0,na,na,,SF,,
tinian,pina,13-Sep-10,SF,3,h,open,Neisosperma,28.5,8,3,,0,na,na,,SF,,
tinian,pina,13-Sep-10,SF,3,h,open,Neisosperma,28.5,8,4,,0,na,na,,SF,,
tinian,pina,13-Sep-10,SF,3,h,open,Neisosperma,28.5,8,5,,0,na,na,,SF,,
tinian,pina,13-Sep-10,SF,3,h,open,Neisosperma,28.5,8,6,,0,na,na,,SF,,
tinian,pina,13-Sep-10,SF,3,h,open,Neisosperma,28.5,8,7,,0,na,na,,SF,,
tinian,pina,13-Sep-10,SF,3,h,open,Neisosperma,28.5,8,8,,0,na,na,,SF,,
guam,anaoarray,2-Jul-10,SP,3,b,open,Papaya,30,8,1,no,10-May,h,dis,,TL,,
